ID,Name,Genre,Description
33, Saving Barbara Sizemore (2016) , documentary ," Black Schools Matter. The Barbara A. Sizemore Academy is an Afrocentric school in Chicago that city school officials targeted for closure in 2015. But a group of 7th and 8th grade filmmakers and their teacher were not going to stand for it. The Barbara A. Sizemore Academy (BASA) is the ""Jewel of Englewood"": an Afrocentric oasis of primary education in a community unfortunately known for its high murder rate, as featured in Spike Lee's ""Chiraq"". A chance encounter at a restorative justice seminar between BASA's head of cultural affairs, Jonathan Speller, and filmmaker David Steiner, turns out to be high-order serendipity: mere days after their meeting, Speller learns that the Chicago Public School District has slated BASA for closure due to its allegedly low test scores. In collaboration with the fiercely dedicated BASA teachers and administrators - and in a stroke of the creative genius for which he was known - Steiner arms five students with video cameras. Through them, they learn to tell not only their own stories of perseverance against all odds, but the truth behind the test scores upon which their beloved school's closure is based. The film highlights the cultural empowerment of BASA's curriculum and devoted teachers, as well as the inspiration that the students find both behind the camera lens and before it. This beautiful film is nothing short of a David-and-Goliath story that leaves audience members enthralled. The Barbara A. Sizemore Academy, an Afrocentric school in crime-ridden Englewood, is slated for closure. Arming five students with video cameras, filmmaker David Steiner shows them how to plead their school's case through the power of film."
34, Two Women (????) , documentary ," ""We are two women, who have each grown in our own Grandmother's country. We have some knowledge and insights to share with you, if you wish to listen. Our knowledge comes from Aboriginal terms of reference, and our insights from an Aboriginal Perspective, and of course we acknowledge that there are many Aboriginal Perspectives: this is ours."" Aunty Mary Graham is a Kombu-Merri woman from the Gold Coast and is affiliated with the Wakka Wakka language group through her mother. Aunty Lilla Watson was raised on the banks of the Dawson River; the Brigalow country of her mother's people. In this documentary, these two knowledgeable women share, through Aboriginal terms of reference, the tenets of human conditioning. .They both discuss the privilege of human relationships, and the symbiotic connection that humans occupy with country."
35, Race Across America: Push Beyond (2017) , documentary ," Marshall Nord is a 49-year-old executive, Father, husband and amateur endurance athlete. He has 30 years of multi-sport experience behind him, having run marathons, Iron Mans, triathlons, you name it. But with the big 5-0 looming, he is desperate to achieve something truly epic. And what is more epic than taking on the toughest ultra-endurance cycling event in the world? The Race Across America is a 3,070 mile bicycle race from the West to East of the USA, that must be completed in under 12 days. With a small support crew made up of family and friends but not a minute of RAAM experience between them, the odds are stacked against him. Marshall is determined to push beyond in order to achieve his goal however, no matter what obstacles the race, rules or road can throw in his way."
36, The Fatal Game (1997) , documentary ," In 1994, New Zealand mountaineer, Mark Whetu, summitted Mt Everest with climbing partner and friend Mike Reinberger. However it was late in the day and after a freezing night on the summit, Whetu was faced with a terrible decision...to leave Reinberger or stay with him forever."
37, The Marvellous World of Roald Dahl (2016) , documentary ," Fighter pilot, inventor, spy - the life of Roald Dahl is often stranger than fiction. From crashing his plane over Africa to hobnobbing in Hollywood and his remarkable encounters with everyone from Walt Disney to President Roosevelt - this is the story of his greatest adventures and how his real-life escapades find expression in his most famous books, from Charlie and the Chocolate Factory to Matilda. Through a vast collection of his letters, writings and archive, the story is told largely in his own words with contributions from his last wife Liccy, daughter Lucy and biographer Donald Sturrock. Long-term collaborator and illustrator Quentin Blake also creates exclusive new drawings for the film which are specially animated to bring Dahl's marvellous world to life."
38, Churchill's Darkest Decision (2009) , documentary ," The background to, events of and consequences of the Battle of Mers-El-Kebir on 3 July 1940. In that battle, Royal Navy ships fired on the French Fleet in order to prevent it from falling into German hands. A French battleship was sunk and several other ships damaged. Nearly 1,300 French sailors were killed."
39, Onset I Offset (2006) , documentary ," A documentary, attending the origin of a film. The small team of director Bernd Schoch went through the struggles of a 36-hour bus ride to Bucharest to follow his professor Didi Danquart, who was shooting his film ""Offset"" in the city. ONSET/OFFSET is less a ""making of"", but rather a colorful introduction to the country and its people of the new candidate joining the EU."
40, Truth About Lions: The End of the Road? (2011) , documentary ," The lion's social nature makes it both complicated and fascinating. Lion expert and BBC Big Cat presenter, Jonathan Scott, has lived in Kenya, in East Africa, and watched the most famous lion pride in the world, the Marsh Pride, for more than 30 years. With the help of the latest lion research from Professor Craig Packer and his team at the Serengeti Lion Project, Jonathan takes a fresh look at the lions he knows so well. He reveals why male lions have a mane, why murderous step-fathers are an important part of lion family life and discovers why being social brings unique challenges for the survival of the species as a whole. Living in prides once helped the lion to be the most widespread land mammal on Earth after humans, but now it could be their downfall as they are increasingly restricted to small parts of Africa."
41, Cheongchun highway (1973) , action ," Dong-woo is released from prison after a short time following his failed attempt to rob a watch shop. He decides to follow in his brother's footsteps and become a singer. His popularity soon eclipses his brother's, however, leading to unexpected jealousy and family problems"
42, Province 77 (2002) , action ," Thai Town is a six-block area near Hollywood, Los Angeles, which is home to over 50,000 expatriated Thais. The town is such a gateway for Thais entering America it was dubbed Thailand's 77th Province. The movie follows a Thai family as it struggles to survive in Los Angeles' fast-paced consumerist culture, while still maintaining traditional values. The identity struggle between Thai-ness and the high octane way of life on the west coast of America, defined by hip-hop, drugs, street racing and violence, affects Pat, a good boy tempted by a life of crime, and his sister."
43, The Gang (????/II) , action ," The Gang is a study in the paranoia of power. Following an unspecified job involving an international gang of crooks, Frankie the Londoner is killed by the gang leader, Marquez. But this death-in full view of the gang- is not what it seems. For Frankie had been forewarned and manages to fake his own death. The story, then, starts with a bang and continues at breakneck speed with Frankie wreaking revenge on the gang as he tries to find out who betrayed him. The story lurches from one corner of Europe to another, pulling in Frankie's old London gang. Meanwhile, Marquez jumps to a false conclusion that this gang had reacted to Frankie's death and is hellbent on teaching Marquez a lesson. The stage is set for a showdown in Marquez' fortress in the Canaries where the paranoia is ratcheted up and the body count reaches Shakespearian proportions."
44, G4 te gong (1997) , action ," With the retreat of the British government from Hong Kong, the S.B. Team, an elite secret police force, is also on its way out. However, this team of highly trained cops have one final mission together and they are in for the fight of their lives!"
45," ""Demi's in Chains"" (2016) ", action ," Demi's In Chains On her way to a successful, normal life, Demi unknowingly possesses a great power, which is sought after by Jade Stone, a sorceress who has surrounded Demi by an intense negative energy. After having a promising life ahead of her destroyed by the negative energy that surrounds her, Demi must struggle to keep those she loves from being repelled by this energy while also fighting for her life in what appears to be an ever-growing battle of good versus evil. In order to succeed, she must unlock the true potential of the power she never knew she possessed."
46, Kong shou dao shao nu zu (2003) , action ," Four fearless and intrepid girls get selected by a recording company to undergo martial arts training in China to prepare themselves as a pop group. However, they are forced to disband one year later after their recording company goes under. Will these girls have the courage to stand up against all odds to fight for what they really believe in?"
47, Total Corruption (2011) , action ," A New York City Detective back from Vacation investigate the shooting of her partner, convince this was the work of local drug dealers she start to harass them all, this then lead to a turf war with her caught up in the middle. Now she must turn to the very criminals she is trained to put away for help."
48, Lady Samurai (2007) , action ," After her master is killed, a rogue FBI agent goes under cover into a world of violence, motorcycles, and deceit to discover the truth behind her samurai master's death. Not only does she find answers to her questions, but also finds her self in the middle of a power struggle between the DA and the head of a crime family."
49, Eliminators (2016) , action ," A former US Federal Agent must abandon the witness protection program and come out of hiding when his London home is invaded in error due to a wrong address. When the event ends with multiple homicides, the news triggers those hunting him to send Europe's most dangerous assassin to kill him. Now on the run with his daughter's life in jeopardy, a determined father must get her to safety before the people he's been hiding from track him down."
50, S.W.A.T. 4 (2005) , action ," SWAT 4 is a tactical shooter video game where you lead an elite squad of police tactical experts and are tasked to bring order to a series of highly volatile scenarios involving hostages, civilians, suspects and other law enforcement officers. The rules of engagement are strict. Lethal force isn't authorized unless a suspect shoots first or points a firearm at a fellow officer or civilian."
51," ""Pink Slip"" (2009) ", comedy ," In tough economic times Max and Joey have all but run out of ideas until, they discover that senior housing is cheap. Not only that but Max's aunt just kicked the bucket and no one knows yet. In a hilarious series that always keeps you on your toes, the two friends take us on a cross-dressing, desperate and endearing ride through being broke."
52, Babylon Vista (2001) , comedy ," Frankie Reno was a child star on a TV show. But that was thirty years ago. Now he's busy making ends meet running ""Babylon Vista"", a Hollywood apartment inhabited by has-beens and wannabees - with more stories than rent payments. Frankie slowly finds himself getting sucked into the bizarre world of his dysfunctional tenants."
53, Tunnel Vision (1976) , comedy ," A committee investigating TV's first uncensored network examines a typical day's programming, which includes shows, commercials, news programs, you name it. What they discover will surely crack you up! This outrageous and irreverent spoof of television launched the careers of some of the greatest comedians of all time. This 1976 film tries to predict what American television will be like in the year 1985. Tunnelvision is America's first ""uncensored and free"" television network. Although wildly popular, it is also blamed for increased crime and unemployment. Christian A. Broder, president and founder of Tunnelvision, is called to defend his network in front of a Senate sub-committee. The sub-committee decides to view excerpts from a ""typical"" day of Tunnelvision broadcasting. What follows is a series of brief skits lampooning television, including cop shows, news broadcasts, situation comedies, and (of course) commercials."
54," ""The Young Professionals"" (2015) ", comedy ," Whether it's blocking up mouse holes, running from Landlords or making puppet shows in the bath, it's never a dull moment for The Young Professionals. Desperate to break into the online world and escape the terrors of temping, Natalie presents the lives of six housemates struggling to get on the career ladder after uni and pay their rent on time. Which is all helped along with Keara - the one with the 'real' job."
55, Stealing Stradivarius (????) , comedy ," When Artie needs money for his daughters conservatory tuition, he concocts the heist of a valuable Stradivarius violin and finds himself embroiled in a thrilling and hilarious farce involving international art smugglers, federal investigators and the Hmong Mafia."
56, Chonda Pierce: Girl Talk (2013) , comedy ," The ""Queen of Clean"" is back for another sold-out performance in Nashville, Tennessee, and her Southern sass and razor sharp wit will have you laughing until it hurts. Chonda's ready to tell it like it is, and there's no subject she's afraid to tackle! As the undisputed highest-selling female comedian of all time, this preacher's daughter is here to share some of her funniest stories with you and your whole family. Whether you're a woman, a man, a long-time fan or someone who's about to discover Chonda for the first time, come along and join in for a little girl talk. It's a conversation you won't want to miss!"
57," ""Arkivet"" (2006) ", comedy ," If you want to preserve a feeling of relative safety and harmony in life you better avoid thinking too much about certain matters. Like what sausages consist of, how laws are made. And what really goes on in hospitals. The Archive follows the daily chores of six individuals who work in the deep catacombs of a hospital, more specifically in the hospital archive where the case records are kept. Archive Director Dagny loves her colleagues with all her heart. But is love and care enough when the hospital administration sends their most insensitive computer engineer to take on the (long overdue) task of digitizing every file from A to Z? How can they preserve status quo when facing the evil nerd from hell? Dagny claims they have nothing to fear but fear itself. After all engineers have their own jobs, she reasons, they have no interest in taking theirs. Her strategy: don't rock the boat and everything will eventually return to normal."
58, Il cappotto di Astrakan (1979) , comedy ," Piero arrives in Paris from Luino after having won a pool tournament with friends. In the train he meets the famous place Ramazzini and has so many incidents that culminated with his arrest and the confiscation by the commissioner Juvet. Released, find randomly hospitality at the madame Lenormand and know the great painter Valentine. Both women are tied up, as a wife and lover, Maurice, in prison for robbery. A day Piero wears a mistake and the coat of astrakhan, Maurice, and then..."
59," ""George & Leo"" (1997) ", comedy ," George Stoody is a mild-mannered bookstore owner who encounters a hoodlum/magician named Leo Wagonman, the estranged father of his new daughter-in-law Casey. Leo, on the run from a mob intent on collecting the payoff money Leo stole from a Las Vegas casino, decides to stay in the spare room above George's bookstore."
60, Ma Loute (2016) , comedy ," Summer 1910. Several tourists have vanished while relaxing on the beautiful beaches of the Channel Coast. Infamous inspectors Machin and Malfoy soon gather that the epicenter of these mysterious disappearances must be Slack Bay, a unique site where the Slack river and the sea join only at high tide. There lives a small community of fishermen and other oyster farmers. Among them evolves a curious family, the Bréfort, renowned ferrymen of the Slack Bay, lead by the father nick-named ""The Eternal"", who rules as best as he can on his prankster bunch of sons, especially the impetuous Ma Loute, aged 18. Towering high above the bay stands the Van Peteghems' mansion. Every summer, this bourgeois family - all degenerate and decadent from inbreeding - stagnates in the villa, not without mingling during their leisure hours of walking, sailing or bathing, with the ordinary local people, Ma Loute and the other Bréforts. Over the course of five days, as starts a peculiar love story between Ma Loute and the young and mischievous Billie Van Peteghem, confusion and mystification will descend on both families, shaking their convictions, foundations and way of life."
61," ""B4U Talk of the Town"" (2012) ", talk-show ," Talk of the Town covering all your events, fashion shows, exhibitions, film festivals, conferences and more. Talk of the Town USA is packed with entertainment, glamour, style in your city your town, your community."
62," ""Nedjeljom u dva"" (2000) ", talk-show ," Croatian linguist Snjezana Kordic ascertains that since 1990, purism and prescriptivism have been the main features of language policy in Croatia, which is manifested, among other things, by replacing English words with Croatian substitutes. She does not approve this type of language politics. Kordic describes the language of Croats, Serbs, Bosniaks and Montenegrins as a pluricentric language, with four standard variants spoken in Croatia, Serbia, Montenegro and Bosnia and Herzegovina. These variants do differ slightly, as is the case with other pluricentric languages (e.g. English, German, French, Portuguese, Spanish), but not to a degree which would justify considering them as different languages. This fact suggests by no means a re-establishment of a common state, since standard variants of all other polycentric languages are spoken in different countries, e.g. English in the USA, UK, Australia, and Canada, German in Austria, Germany, and Switzerland."
63," ""Hot Ticket"" (2001) ", talk-show ," Hot Ticket is a syndicated movie review and entertainment television program from 2001 to 2004. The half-hour show was hosted by Leonard Maltin and Todd Newton during its first season, and by Maltin and Joyce Kulhawik in seasons 2 and 3. It was distributed by Paramount Domestic Television. The show featured MTV-style fast cutting. For each movie, the hosts voted Hot or Not with red or blue cards. The show featured film reviews, showing and rating trailers, DVD recommendations, general discussions about film, and short interviews with actors about their upcoming roles."
64," ""Walk in My Shoez"" (2015) ", talk-show ," ""Walk in my Shoez' is a student-run University panel show which highlights social justice issues relevant to the youths of Australia. The series focuses on a variety of organisations and individuals who focus their work on positive projects and initiatives, particularly located in Victoria that help disadvantaged youths become a part of the community."
65," ""The Greg Who? Show"" (2006) ", talk-show ," The Greg ""Who?"" Show represents a family friendly, quirky and fun late night variety show which aims at entertaining and inspiring our audience through great music, comedy and guest appearances."
66," ""Moneywise with Kelvin Boston"" (2000) ", talk-show ," The Moneywise series is the nation's premiere multicultural financial and business affairs program. Each episode teaches viewers the necessary skills to understand basic financial planning concepts, increase their net worth, and use their financial resources more effectively."
